index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
35,-1649.66130827979,-1129.5630951350333,-76.21959354082209,-849.3288584825114,-276.6349730724322,-87.24879999468172,-558.370877466571,2000
36,-1596.6055193258064,-771.1284611026689,-64.2444013439609,-826.8311606035331,-214.7951950678291,-37.29370262826189,-499.0802469814941,2000
37,-844.8838663832005,-1228.8635991600217,-80.70114584962016,-586.5570162747349,-52.248448915578265,-198.29083679003418,-549.790339906,2000
38,-2612.8868390306375,-1560.4087373828331,-97.79436060165709,-870.3509759167599,-93.99393134879585,-107.46068373296262,-603.2869484255715,2000
39,-2133.3269516343453,-1212.8789319453492,-80.94021578489156,-852.7782112393141,-765.4263564847812,-26.909909432190997,-572.1507741046712,2000
40,-2551.9433828185074,-1044.2915949430565,-118.30208179523133,-913.3867181693759,-468.4692833544806,-82.63603214615358,-594.1614654018241,2000
41,-4482.693951593354,-1638.6446035263634,-320.57940264592725,-1207.4520959829783,-451.44882817012564,-111.11843442200335,-476.3805356996202,2000
42,-4080.0073226848517,-1409.2422471804132,-230.6837820178632,-1198.33362267248,-900.4154610159891,-65.56675528205037,-493.9579951183689,2000
43,-1432.2710335456632,-863.8179039204821,-73.05050573710062,-772.5308073851843,-133.91434982353687,-43.927081038906124,-579.4495524743776,2000
44,-6243.221256425934,-1909.4162623701013,-472.48784349326877,-1565.336405863987,-781.6711351159212,-69.3750448987356,-375.2915247487784,2000
45,-6413.781693418157,-1838.9632130171071,-479.3596266892315,-1611.3170817303296,-1454.6333053633475,-281.45737446585883,-337.7829660586382,2000
46,-1994.701906090149,-1024.0454932719933,-76.8312002363845,-915.844867625785,-616.3133450622441,-106.36007672682146,-516.5329943616156,2000
47,-1632.987216839509,-996.6688542408567,-103.10085624499062,-778.6042586962982,-129.2847253957477,-245.89165889457698,-542.8689479835479,2000
48,-5512.573979407941,-1944.0660166329628,-378.1248721929701,-1407.0081969868183,-442.7270216817081,-23.51404544051469,-441.655280972448,2000
49,-1549.8557326742175,-1116.1393048523319,-86.88058491019885,-659.599291369145,-184.84545522442968,-130.95324560550813,-509.82318916342905,2000
50,-5888.980963375438,-1919.3094274394223,-432.51375323926203,-1473.884557334871,-803.2877370963022,-36.339401117342476,-451.63035340407293,2000
51,-1153.4231171319607,-704.0850245032103,-112.07983994939677,-682.840041082323,-93.9952960077178,-167.3141651757377,-447.6127861947559,2000
52,-2986.8602536019484,-1249.1793934650022,-213.0137429332274,-969.8519862444066,-298.41360692354743,-160.5094847395231,-560.0600954097258,2000
