index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
19,-3611.7920045545943,-3842.12711601529,-3.301117127692062,-11.367546771164726,-117.09642473064318,1633
20,-3473.9527067074105,-3680.6651412466194,-3.327844948338621,-9.678715298360306,-113.5831749923764,1643
21,-3611.8025201682667,-3821.901056228775,-3.9217878934492973,-14.048511565212715,-111.10999995196632,1677
22,-3502.1368901151636,-3707.9917987746503,-4.873560157191984,-12.08708330043346,-115.70965117157233,1684
23,-3676.9535133224117,-3899.417176995058,-3.049403778094497,-10.971843585523677,-116.72467338110212,1685
24,-3430.861933850287,-3579.8756857732546,-2.8875756437464575,-10.495302044007742,-122.72782763013264,1687
25,-3651.7466903000395,-3860.5610038202312,-4.743871914413885,-11.506318039957996,-117.75103204996695,1693
26,-3506.3185771179906,-3688.961453219221,-3.4287245406910705,-10.449628236716432,-120.03026278740965,1701
27,-3794.7005214208984,-3991.5004788214646,-4.485063425080945,-16.36727082957203,-120.56358676553708,1710
28,-3860.8068237392586,-4068.53642728488,-4.373470029270987,-16.578742742202675,-130.75236840678312,1732
29,-3739.723139999384,-3960.620462308041,-3.1413821981552776,-11.47673999061245,-115.36487250475174,1733
30,-3847.6754212508,-4085.525235661304,-3.8358383232693316,-14.242698430379349,-122.32460231339225,1743
31,-3828.6913454656246,-4064.285215675115,-4.967633421805864,-18.99864957610745,-123.24535410304496,1754
32,-3273.7604556847227,-3478.119745059441,-2.841311872176191,-9.620850285672331,-108.09293272062696,1512
33,-3266.8732819625757,-3488.5642105162183,-3.0489927295264403,-8.322413848408054,-113.35012141639353,1452
34,-3156.4374765408143,-3351.5657704799596,-3.668605801119019,-8.41733249550294,-101.56149861175317,1425
35,-3021.75,-3231.576639601412,-1.9575070577649456,-6.408283104075131,-106.06250877182357,1343
36,-3434.5928067782843,-3655.251474368844,-3.406166615989496,-11.534277776698724,-114.79237328833321,1544
37,-3132.436804673369,-3343.5490900271448,-2.360870562538706,-7.249425476006714,-110.17517222797669,1394
38,-3433.1950037671677,-3641.625002665192,-3.5998159365774285,-12.970532272659327,-107.94497052474233,1560
39,-3330.0538127793193,-3531.1616413659663,-3.4610960481936583,-10.722812759466878,-109.23855382203013,1533
40,-2990.6980589471855,-3193.838930768835,-1.7203550900633535,-4.082305528813948,-105.63463623410786,1331
41,-3165.4566253403004,-3321.618523400899,-4.665002339551842,-11.159743013748178,-111.92517662996289,1732
42,-2987.2636186098202,-3185.024528439072,-2.548434813504146,-5.217466925138517,-101.3889059917737,1337
43,-3114.0,-3328.0350006145172,-2.94930748359922,-7.538785367011478,-110.00518057276761,1384
44,-3278.5626465180703,-3494.326197132827,-2.5117594089883064,-8.441439018859443,-115.44625257662561,1468
45,-3395.492839103295,-3610.3854905803137,-3.7138628151489277,-12.441893735545358,-110.71526730990264,1531
46,-3093.370659158381,-3295.847789570451,-2.509054605305032,-7.4109461922647295,-103.82658312662468,1429
47,-3830.296289265426,-4022.9932122499913,-2.6281550531976343,-9.262718388355605,-130.82809027424042,1731
48,-3563.8887790290673,-3800.4516584166518,-4.339118212442375,-8.528732634486786,-119.73901116693038,1584
49,-3337.503102578729,-3555.907509777161,-2.031794149357348,-7.154146072644216,-118.26200299616646,1488
50,-3056.0853468455352,-3237.9069197649333,-3.1946992483517613,-9.821113897238087,-107.09932601495717,1464
51,-3669.4473891904013,-3893.3543535739695,-2.9268752243449985,-11.36699239336742,-115.95093059342199,1669
52,-3669.2110080504062,-3887.8532359717865,-4.419333878778758,-15.592736905020919,-115.34848717903778,1680
53,-3639.310720434193,-3824.4309678789155,-3.4866236457811715,-12.507441006318157,-120.86428676390368,1748
54,-3513.83697382242,-3735.7681716048205,-3.6982230396125755,-8.668207703517794,-115.19999989229224,1587
55,-3522.2473248800325,-3736.564697016742,-4.906695455355545,-10.847399712314534,-113.8849917031739,1610
56,-3395.9975428307876,-3562.312581885839,-2.748034296075154,-8.710218378243358,-115.39877262890226,1606
57,-3616.4546961503197,-3809.5460532749767,-3.9258099905789097,-13.310465866210041,-121.81827468193998,1724
58,-3496.9898767372306,-3694.672262028865,-3.717419980847473,-9.916667066150064,-104.7327554127403,1667
