index,reward,circle_reward,radius_reward,los_reward,tangent_reward,turn_reward,altitude_reward,speed_reward,robust_margin,smooth_penalty,safety_penalty,steps
0,-64.2996744184329,-112.43479234829212,-158.84296796383376,-96.2322156959038,-62.27229197743804,7.74741546004587,58.264390176562316,41.860331096588546,155.92378209745195,12.420029113280881,39.96003970744367,250
1,-49.603648747981765,-134.30019424155356,-208.8541122838611,-129.89193560577306,16.020271103646316,17.38997889842882,34.95065934509368,59.069187666563565,229.07516233767842,13.039992979185856,19.59258297037025,250
2,-96.61979431417994,-167.0075010544212,-215.63576031220003,-164.1119264491261,-73.7163983863973,-36.37316418398676,24.054958027415886,143.95898757423004,211.28215565789333,12.42579681458562,53.90586561653837,250
3,-13.256843950037764,-32.15224269835219,-43.1925179391709,-42.738063941146336,-1.534728856266836,46.457921227051706,-19.887139680914316,52.35957042683204,167.23417768862512,11.1034983784834,6.609525374281364,250
4,-42.583773107826524,-116.05597933929826,-200.15469387487383,-109.6477375627394,48.27941821989177,7.786117505390491,41.366772921135784,69.32634728671358,228.13201368155364,13.375005214997348,19.620325142152314,250
5,-44.83598601502812,-84.27447383385186,-61.08486938820399,-112.7016714745334,-88.18259202297158,17.071295020166506,9.450260857763581,-51.93622226932265,123.10970494799629,13.946609536437265,5.30467963875313,250
6,-49.520818024770215,-116.77186377574954,-177.69123368475226,-116.27214837432176,1.8441975976435905,2.599846492489922,52.69476213875829,93.03280460007294,196.9163986969901,12.884636857332257,29.714483135036406,250
7,4.1307396937679,-68.88772183737359,-144.07351358940085,-87.95986971972565,136.9750701815422,65.29029798709279,51.78587582723875,160.72359863300107,233.94669086848543,17.6664002319227,8.18062258000899,250
8,-61.386025059761394,-108.12991453425003,-102.46416871001058,-113.88234403209901,-116.92768421409234,4.978550684336284,21.838755700408687,-50.13437874833767,115.7582993111146,12.117461221282294,16.253676982380306,250
9,-124.74124206607668,-163.92325014910085,-238.70301817000905,-152.4999340257193,-31.998476391478437,-19.557958106841635,33.86122708539438,63.661151122385114,224.02270871740612,12.014554976684297,79.57174085787274,250
10,-81.0903203146238,-142.39926797154627,-201.28260518736357,-145.50503218136896,-3.3376511980429484,-14.771791316675639,-30.253727195596678,155.80001970132625,208.67366122572403,11.419152225657022,39.24752476834147,250
11,-87.45122971265535,-139.64841854977792,-190.36605604758674,-142.50011672714473,-22.481381340641406,-11.525813735167027,-51.02623501972487,149.95548449838412,211.41701295752014,11.480277101074991,41.612519201346174,250
12,-51.0424016297394,-78.59588655742643,-45.42207006886356,-120.44746390071954,-61.63075869245946,14.629832718657434,-12.88759287298197,-41.04246622016992,122.23106204698745,12.336407761238801,10.361986975320889,250
13,-33.74917110186765,-105.92904262199856,-150.80291263937022,-106.51312930765239,-14.457181983496932,39.098549983604904,-12.852084467883065,77.75096437117246,172.01696257116654,12.278987041162013,4.788763068912268,250
14,-54.79450684226733,-67.55371515389744,-49.449070569675534,-80.00116801685886,-86.62159395035019,9.782633021854904,16.921554180792455,-103.18815525246508,81.19200830560546,12.273237519806276,14.443434055116844,250
15,-100.35882100128103,-153.97982848558397,-207.121560449503,-159.2535377172488,-23.410677590197064,-24.538343735577087,-11.783551691106455,131.5890473214553,204.81825365704913,12.789928231876395,53.059041529336334,250
16,-7.142955300665416,-90.12295538908121,-150.5919556957184,-89.22753510645909,24.098699345420872,38.954863982788794,54.97649960890868,135.6750804659454,229.274143569719,17.3132710375594,6.042293946125078,250
17,-13.105248094978172,-75.89327741471858,-138.60435810059306,-89.27937352986753,82.38832672370367,60.8915897560253,38.03864734028607,52.06189694580872,227.2330742475995,13.501843562102936,9.204028749237832,250
18,-104.0474627706492,-170.31585764277034,-237.5370878219686,-180.58458200866988,17.765427586416507,-43.07109404374415,37.04306314910482,146.32919108759432,209.3322369751242,12.494403423265872,62.16775231282518,250
19,-48.57289925527553,-103.88130121334963,-170.40686127888503,-84.39419303318846,-12.461700102675172,6.300265990238492,19.816620290950905,60.38943494912052,174.8563564979643,14.226117947197828,19.25479981644103,250
20,7.696246524220595,-79.67449119443664,-139.2807273893525,-78.76272985900194,35.70475435048173,37.99089414271642,98.12436563271407,113.58404560096209,237.00376383297774,16.51543079548348,3.670140127456274,250
21,-14.201443152203897,-106.55946777238266,-196.60319377702513,-120.40761111674831,135.31834917520334,13.830889797757,109.34346034664242,22.389138137280714,171.07525992147424,14.343883635704316,2.1275474116238895,250
22,-18.230094700148495,-108.01451748469668,-179.44574544548806,-108.95931519656953,46.60058437604687,18.161348996119372,59.58776768979825,106.33855474932078,202.6745479030749,16.507594475828377,4.6485561295991085,250
23,-17.380126635904706,-93.04994177189563,-169.62402023318143,-106.54034193521287,112.11439917475299,58.369445905150144,42.60379724584805,55.88379558105836,226.59951317710124,13.416578223585619,8.80293549033829,250
24,3.555948486926779,-89.52924249647144,-181.19425310835985,-109.97294198761044,171.23023084056663,44.77370982865472,71.37592595713221,131.63131831755112,234.41435973635092,15.538543047148,1.5755388252390667,250
25,-83.31046122611131,-150.1119468244023,-228.06720543867854,-161.52652153035802,63.117388472297804,-2.153649634066574,31.175499755709335,56.81569665113967,219.50173696807292,12.47338690915725,43.41778808206605,250
26,-63.80784301163024,-133.6582319760085,-210.21133646368057,-125.40431278874966,6.980545257953781,10.558252651465555,12.797857475992144,72.72257433265828,226.03111593006943,13.260762086024599,28.809007426453324,250
27,-15.587117475385769,-103.02861738669793,-174.05345562267652,-101.52978705450589,41.98752329787918,13.170794894670612,65.38317315460075,132.6338451436394,220.03675342411125,17.070289074819538,7.727826116677456,250
28,0.05118860446920968,-37.67150645911613,-67.28752824416416,-38.27154410744956,22.93397494511278,69.37187081568877,-38.936371351543,153.56255339780284,211.60471848817363,12.32931532752608,4.272284727717129,250
29,2.1648592735241063,16.419836366482155,-12.203472779734838,7.787718777032144,83.87159429184705,66.19323638716905,-49.12003669512401,95.0417364990853,195.49628834371424,11.849926146881911,9.89560164876224,250
30,-4.616880515164379,-0.22069357209629592,-9.852409747257555,-8.103382044204197,29.408558650823068,52.03778679138732,-13.147451203210439,8.529939239242426,150.48942872822036,11.379706267396923,4.734450304251178,250
31,-28.18605193972003,-113.55856760262766,-195.890545067045,-122.19288420221052,93.63442284111133,46.35541720014375,30.22274522200712,58.49647024520954,226.43621754063133,12.684704112406454,8.752389416143663,250
32,-21.626571858862594,-82.51417764945941,-137.6635458696594,-78.88863217027297,12.976933278226847,35.84718285812458,45.28654732134492,69.30287983539142,185.93430624082814,16.653192355716733,10.449038571939527,250
33,-43.191252154236054,-90.95114501650572,-114.72425515829781,-106.95115475424768,-9.477176025573378,30.984909687778316,-46.92890381263499,110.73358530599705,213.1316477389694,13.921639857060761,14.80328504874913,250
34,-63.574312010034475,-148.8084373858105,-224.98214064965873,-138.44293504611116,-11.810755418220303,-16.73971173888727,67.02238325318312,93.66044348894218,228.16481621275904,14.230230172467657,34.049259603203026,250
35,-23.913015130201806,-45.05307543921133,-85.48012799187076,-53.361947158014864,47.64324287118502,34.08684141120008,-49.848661944444295,68.85667628579615,185.50475799733613,13.335389509623933,4.733021716135601,250
36,-2.7922173047563796,-24.4570535399397,-55.83819338483515,-24.167817120545408,34.657884042164056,59.41707920383849,-15.241766160577907,110.04861872348458,198.82810300732527,11.819990883786492,10.075867459363208,250
37,-14.710242446380672,-101.06077202621564,-174.12736369566088,-105.68038247107836,67.9677497922951,28.927600241723354,61.27719922861886,115.89226936027757,215.16967139291637,18.47827287388084,5.569514616208914,250
38,-57.01500437953751,-137.6759119986252,-218.60785501200584,-142.57243544557628,58.72483968511712,18.682425600690646,25.702464759350054,53.48742217918271,225.54704368714283,12.524597891757853,23.460467470356676,250
39,-99.4378727776116,-143.46043828044972,-199.70885663172083,-120.4569313369762,-98.72316137631371,-2.8937557266605736,-24.827454792867407,-8.227068450626728,141.70317602566513,14.084445306332647,34.45448591563082,250
40,-8.372744502549933,-71.6451621381705,-73.89391350659464,-78.39794335777512,-50.33542833941322,73.21270640217281,6.849329174346426,103.9862484939924,190.15717297035303,11.8886516895135,6.00861643268146,250
41,-77.93523848003207,-111.81757591867789,-152.2840352861713,-107.33389989134258,-56.30873179716331,19.00509287026195,-58.08838037241195,108.87496127486004,199.5951677636457,14.054890393279726,36.683429214608054,250
42,-49.972893615414705,-108.20361622752034,-190.68957887594195,-105.44948761786623,58.23956188466167,18.913694423258264,51.39253051377432,45.020026168428764,169.20573960710723,14.967266014831196,26.369782774785694,250
43,-51.08893014226761,-109.9322912519363,-168.56248883355096,-108.93832173693187,2.948603192617964,20.34393627993079,-9.716222696449917,104.48591049899977,219.83488834042402,13.2003537278477,23.67381265648871,250
44,-26.411423227655792,-83.23597918867274,-169.0563062280004,-73.41814331627386,83.5282535487851,30.204545765264054,-10.912795232399922,70.642119059189,220.0527300193294,12.61369123059611,5.845505009242011,250
45,-110.23607478636566,-165.27717819842323,-235.03784559131938,-174.62842710780131,22.71410496430366,-23.150300961704865,-15.790335807538662,114.80618050202418,218.92818024924685,11.874403144781688,58.00322084981881,250
46,11.632652548934937,-74.52492123894851,-138.76690144965517,-86.19300839570406,87.82325249015206,71.4748341517246,76.46815915275833,123.21871286154175,233.0691813807593,17.302616943739206,1.4773330357459378,250
47,-48.4457189084143,-83.93389308478068,-107.58328757928668,-92.80369413653834,-32.215109426815445,23.346463058193436,-7.669457317964618,57.97031023016245,159.1649462882787,14.373376078379314,20.75078050763843,250
48,-46.81745735170757,-65.18831297939987,-69.62173643444712,-68.69956544289255,-63.807758563213035,54.595679292640966,-12.240794641829208,-78.82491317378033,102.02611128238658,15.003282774658459,9.122039422732888,250
49,-23.554704220679593,-69.68086121757814,-115.06625605216014,-71.73521883079867,27.046118736910312,28.480511882523817,-16.52136816969187,88.04785560824895,181.62716562507637,13.580938508426563,5.005959794678427,250
50,-8.679487879869086,-105.35287092639004,-191.0092593027912,-116.56488676007739,116.73242415875909,38.9199363470708,55.40564829362759,133.2627804227838,227.41425723236463,15.015624706545362,3.9971789624374496,250
51,-1.7912404872645826,-93.63494199578346,-160.12949934364053,-93.88610789324869,42.90527682504765,19.085038408974093,96.28348070977769,134.35512835378506,217.21053024941054,14.664224469188213,7.6309050631437225,250
52,-32.69777325366656,-95.89482313887174,-181.94906717286787,-116.61852331868893,156.0091206662739,32.59292616796531,-42.38380555155889,112.39764060132447,215.8497715524206,15.347785882296536,3.169079616744942,250
53,7.479429164003256,-47.868299928006564,-84.54808903441403,-58.677020427389216,44.367037848049506,32.30962196989275,68.3940064415642,156.57188984117948,220.34971048263645,17.166278573622645,10.234132067911705,250
54,-112.42764710115408,-128.63359622002508,-236.2375794284068,-69.70581732428009,-77.40407234335184,-28.775088330009567,-3.1892336010047266,100.42297848548742,209.0352832127354,14.325745465465335,70.46011213669208,250
