index,reward,range_reward,closing_reward,los_yaw_rate_reward,los_pitch_rate_reward,vertical_attack_reward,gimbal_center_reward,terminal_reward,steps
53,-9069.021339148321,-2999.999999999991,-595.1091280658839,966.4142148978265,1725.7594438973629,-42.60137651614431,638.8662225650685,-9000.0,3000
54,-9083.59000536137,-2999.9999999999523,-597.9532831132705,929.3777617221788,1703.6589922580451,-39.33795122852891,638.4751350675883,-9000.0,3000
55,-9092.664030761607,-2999.9999999998254,-567.7160109769003,911.946263939011,1670.6869781740209,-63.19183986252404,601.500355039109,-9000.0,3000
56,-9103.078411182192,-2999.999999999872,-615.8181976397699,878.8871839378407,1703.5981773138594,-56.76365289314575,611.9566968043919,-9000.0,3000
57,-9077.406669837568,-2999.9999999999554,-593.1862496825563,928.6487428801775,1723.688629890142,-39.426509638895695,646.7942317049727,-9000.0,3000
58,-9028.99411834628,-2999.999999999987,-539.6342843573647,1084.2003538692677,1717.9235053395719,-40.91199837848084,641.9916705439759,-9000.0,3000
59,-9058.092139001004,-2999.999999999945,-509.5707260074248,1006.8639833819572,1660.8801965840776,-74.91714368879497,628.7589283557135,-9000.0,3000
60,-9105.038297267618,-2999.9999999998263,-603.4371982228747,883.5316888829692,1679.013441157843,-60.733716187050646,616.9834142949115,-9000.0,3000
61,-9052.488650590602,-2999.999999999974,-572.8517923194609,998.2778745007821,1732.8455199601815,-39.40856952577529,669.3404369598687,-9000.0,3000
62,-9122.376494436676,-2999.9999999998013,-613.2275010546376,837.1893475590149,1668.6864862205243,-62.97301977716746,593.7041537408265,-9000.0,3000
63,-8621.732783178048,-3000.0,-1372.8427243517883,2304.0928731926047,2769.604668291714,-113.16838857806789,2027.5779913591011,-9000.0,3000
64,-9096.973425977178,-2999.999999999829,-585.0194129257304,892.9582233236644,1680.3206159931367,-45.642034820344904,608.1703034194953,-9000.0,3000
65,-9106.370474653104,-2999.9999999998413,-606.2135138944112,844.1902699558503,1713.5107793349046,-67.18576245425318,639.8218619435816,-9000.0,3000
66,-9071.089787466071,-2999.999999999916,-569.1194661821633,944.2675323637345,1718.627389843818,-67.99106410924684,664.0641899749816,-9000.0,3000
67,-9093.167773821735,-2999.9999999998267,-578.8506703390472,919.47428517567,1667.6223459367654,-42.39054487179014,581.845001595932,-9000.0,3000
68,-9076.982121097082,-2999.999999999947,-584.7231076405357,929.0404253127222,1717.670797287292,-36.71766108604184,636.2499484245704,-9000.0,3000
69,-9080.745864988567,-2999.9999999998263,-553.5641582761996,980.9107531045416,1635.1324804762733,-36.4764247998747,558.1359883649726,-9000.0,3000
70,-9095.692135246249,-2999.999999999914,-600.2459723562563,919.8709749382919,1676.1751725376994,-38.895028186792445,584.1065108736798,-9000.0,3000
71,-9075.052359423995,-2999.9999999999486,-590.1437361539992,950.3258876827643,1711.2873387498578,-38.139018273201685,632.1772947286089,-9000.0,3000
72,-9041.29533713236,-2999.9999999999964,-468.62901948348997,927.202946371847,1787.094506393772,-100.27181887689702,595.4284153522568,-9000.0,3000
73,-9092.182407921377,-2999.999999999826,-450.03252652367746,895.4130206313446,1608.6089976350895,-50.52408222771873,398.2504456622303,-9000.0,3000
74,-9042.559677799163,-2999.999999999814,-409.67760995163087,1073.7621127870136,1613.1759101591874,-66.4336665132945,350.82379466876466,-9000.0,3000
75,-9079.128733745572,-2999.999999999799,-451.2359534855672,968.4362191358077,1603.2539726859538,-58.42798122511938,356.10094352435146,-9000.0,3000
76,-9039.93215871518,-2999.9999999997935,-381.90532611803906,1071.792263820112,1592.612192508282,-57.044496418041426,359.4499935220003,-9000.0,3000
77,-9057.31323510581,-2999.9999999997967,-417.58391423125886,1047.326928018441,1584.2109810237935,-62.01869171994569,350.7935062301078,-9000.0,3000
78,-8942.474204492495,-2999.9999999999986,-444.8108753043462,1226.619780570228,1860.5741367206301,-141.30476625943075,749.686841133857,-9000.0,3000
79,-9033.183225989073,-2999.9999999997854,-378.3590481167505,1118.3001812101372,1570.43028931046,-45.47878626948015,337.5102252182177,-9000.0,3000
80,-9064.03134906162,-2999.9999999997913,-431.14889436680124,1014.9416525436305,1601.0681011492761,-60.128533259879,352.2979605209278,-9000.0,3000
81,-9063.265432946604,-2999.999999999785,-422.98342957136134,1046.0922435521602,1569.4692948023328,-53.797424547105685,317.9112680019703,-9000.0,3000
82,-9065.599697325759,-2999.9999999998386,-428.9341521368785,966.4308422438842,1637.4271049138335,-73.43673666134433,395.2453107076095,-9000.0,3000
83,-9039.304702639694,-2999.9999999998386,-406.4199864268546,1081.6976720735388,1611.0473487645027,-65.57049547851739,370.6867729888616,-9000.0,3000
84,-9089.187832768772,-2999.999999999997,-491.53299460724804,802.3043050735772,1742.6929456351875,-105.50694145475457,570.6287982469116,-9000.0,3000
85,-9080.22369563619,-2999.999999999943,-454.8547561473555,978.4119700809672,1587.8798818308996,-37.622104921716236,335.8722374499718,-9000.0,3000
86,-9044.601637301985,-2999.999999999781,-393.28500786910337,1087.5407754987928,1568.7144257799932,-51.79255698979748,349.29543957248825,-9000.0,3000
87,-9073.036938534102,-2999.999999999899,-446.095079196817,969.5057435857668,1619.8051947834883,-71.23208947212599,394.289284234017,-9000.0,3000
88,-9098.657770915517,-2999.999999999819,-474.61419465595424,909.9026499602634,1600.731011185825,-53.406675958703794,360.7644944536472,-9000.0,3000
89,-9066.936003793973,-2999.999999999774,-403.22919297990256,994.8730275883838,1583.4355775824458,-46.73627979122881,314.37130518548787,-9000.0,3000
90,-8865.59183218559,-2999.9999999999986,-314.42336118705083,1578.3900332771432,1735.4433216616776,-118.78695413656138,528.5692945525643,-9000.0,3000
91,-9057.920005231392,-2999.9999999996976,-403.8586309444483,1064.3124697674002,1552.4228096819595,-47.4018446564336,314.59567186065675,-9000.0,3000
92,-9077.394253853548,-2999.999999999823,-443.1051218499345,963.4521354802799,1608.1934281943747,-58.03527265230179,351.19134747448675,-9000.0,3000
93,-9004.955760594139,-2999.999999999994,-411.6992004915078,1050.1056943391047,1758.958405513001,-96.89799502812357,587.3292612424848,-9000.0,3000
94,-9055.593523841102,-2999.999999999788,-399.5077630917757,1037.3485438948414,1586.3063103945176,-58.632786977309735,329.4890593831515,-9000.0,3000
95,-9059.697931945773,-2999.999999999802,-418.81859766506346,1027.6624437513105,1591.9539069862792,-50.13466659992049,342.48147953547124,-9000.0,3000
96,-8699.32855527989,-3000.0,-546.089918699641,1860.345027012679,2175.73674980162,-3.112528491992714,1267.6930324359118,-9000.0,3000
97,-8714.93655546822,-3000.0,-459.21220491714377,1779.343332132403,2120.973314695646,-3.664826913158117,1191.2972232899522,-9000.0,3000
98,-8476.809868333283,-3000.0,-393.8944724898627,2101.750404755974,2630.5605066408266,-22.550179865088175,1684.5040863112058,-9000.0,3000
99,-8573.907360111478,-3000.0,-646.3918277083084,2007.6387202683386,2603.717156464276,-53.566942205391825,1597.1592468646297,-9000.0,3000
100,-8613.029222165915,-3000.0,-593.3171008114202,1904.6379089719017,2446.296628235648,46.40387233428714,1610.0441173116567,-9000.0,3000
101,-8686.112217602838,-3000.0,-363.7278508753951,1848.8359410133276,2076.824290293094,-3.90693301063241,1188.294087895556,-9000.0,3000
102,-8691.13405615404,-3000.0,-430.8586777726526,1818.8979549066048,2138.0354531865523,-13.634057823400182,1279.4282870277234,-9000.0,3000
103,-8624.348931463535,-3000.0,-430.84617411417884,1779.4823693319545,2414.7076569326077,-35.13315079175021,1519.23718199092,-9000.0,3000
104,-8624.182152046717,-3000.0,-398.71340421020227,1913.7749918193128,2272.740134549629,-28.343302097779,1391.59529689957,-9000.0,3000
105,-8761.677538173322,-3000.0,-428.12528827610043,1651.8976831819969,2026.3190931727,2.564861858207789,1160.880370040384,-9000.0,3000
106,-8639.604086584159,-3000.0,-452.30432189517444,1999.5569141723015,2198.889036342571,-8.669315387735505,1243.7770817178086,-9000.0,3000
107,-8740.67563448859,-3000.0,-383.6351614338199,1664.33703277637,2054.513431197401,-4.897850320775557,1187.2495586776247,-9000.0,3000
108,-8714.839560215067,-3000.0,-436.1972178733754,1741.9669372594833,2114.0038870759117,-4.210944697549343,1296.7173740758135,-9000.0,3000
109,-8687.880453322603,-3000.0,-570.8636067066827,1910.712531810229,2205.497894351138,-13.518413880128145,1251.7630279252835,-9000.0,3000
110,-8634.218712724145,-3000.0,-418.54992567945357,1983.797169105766,2197.8620458312566,-12.129086428052434,1276.9593299373746,-9000.0,3000
