index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
0,-2437.514391217785,-2274.2295794351226,-2.823122397480958,-7.074723556521789,-153.45730201351643,1382
1,-2417.4196644563735,-2253.2759823277365,-3.35786734925229,-6.512312221640747,-154.3384801943127,1402
2,-2434.0707568395424,-2269.9478781962785,-3.090503116658868,-7.48081906612754,-153.56357272630245,1414
3,-2121.6590988541693,-1958.425507413763,-3.483423824081584,-5.03938379751544,-154.7210287189109,1418
4,-2295.0587099664945,-2132.7214292390786,-3.372891238274898,-7.812847975908932,-151.1567134675072,1424
5,-2156.7813097971284,-1990.6054541434385,-4.453300683006082,-9.58635069746048,-152.14175400709064,1496
6,-2185.1407572543467,-2017.6993043626421,-4.135578468583032,-9.74277568617019,-153.60204884639353,1505
7,-2196.639514143282,-2031.8119998924228,-3.4327472544022233,-8.288264860963656,-153.1065021355009,1516
8,-2280.7356782839274,-2113.2923067263705,-3.97425148744527,-8.975269982187712,-154.5325957057093,1545
9,-2334.9044561727187,-2166.775013165915,-3.431120461149582,-9.850699334056573,-154.85882045993895,1562
10,-2223.0904048414914,-2047.6441830357194,-6.101456063813365,-11.41690741124118,-157.99176723131012,1577
11,-2475.448594071811,-2303.770621282562,-3.6324433576216695,-9.366952706001172,-158.69924550416502,1585
12,-2399.4443199167545,-2231.2465103123773,-3.169166059707691,-9.25453233449863,-155.77411121016397,1596
13,-2266.0573516974905,-2090.000126790461,-3.9498850383940045,-10.443518929784288,-161.7094266825125,1600
14,-2125.5771486104477,-1955.0210984196333,-3.778088959870952,-10.763562611395157,-156.01993995890712,1612
15,-2054.902391635169,-1884.0332150064587,-5.143244399377637,-11.744377723431162,-154.04918232215138,1615
16,-2372.0277521962953,-2196.720389324425,-3.7892026812409307,-10.570447150168576,-160.9477130404664,1619
17,-2328.381730181845,-2152.6976016229864,-6.1143225010167,-10.71101355230801,-158.89540215962847,1644
18,-2302.2968708799076,-2131.459329861525,-3.876211207906598,-11.240549820623322,-155.72920517860564,1648
19,-2426.0902965017667,-2250.8030703822,-5.327522432160965,-10.803843727115405,-159.17214521552611,1663
20,-2089.8894036866805,-1907.1188742440454,-7.484453782211068,-13.352636416283051,-161.9334392441447,1683
21,-2235.0859499027174,-2051.7040828772638,-6.433115133916968,-12.984514458824295,-163.96423743272197,1693
22,-2133.980362086512,-1964.9257339173664,-3.281123422678167,-12.36930917379101,-153.40419557268595,1701
23,-2276.6362318947627,-2103.004325089694,-5.056223859049742,-11.458685735094628,-157.12480302383642,1706
24,-2290.566976937883,-2111.953527889075,-4.9085491222067175,-12.60178298494224,-161.1116004256664,1712
25,-2284.939815671861,-2099.2120201867588,-5.980327902855067,-12.973835942447682,-166.77363163980405,1725
26,-2010.8578089163318,-1822.7448345662547,-7.541102664542283,-15.57204795346785,-164.99982373207234,1726
27,-2154.4520665858836,-1974.8263882289505,-6.319332241350669,-14.906826508436392,-158.39951960715496,1745
28,-2245.0864713619285,-2065.669083824451,-4.173793522742617,-14.162486864796929,-161.08110714994828,1746
29,-2096.1843891123,-1917.378423382599,-4.340339888243209,-15.020542621293675,-159.44508322017248,1770
30,-2205.0396916872496,-2014.2221560537962,-6.808562303106212,-13.629173499449031,-170.47478999287594,1777
31,-1999.8158170215945,-1822.4664565249857,-4.990513552061721,-15.837768402689568,-156.52107854186633,1780
32,-2348.215342468122,-2193.786033434319,-2.0175989512207386,-7.256124117378144,-145.20404320886968,1316
33,-2298.35783853825,-2127.688543925731,-3.5417260291362305,-10.846519978069482,-156.28104860530917,1473
34,-2035.064685417246,-1863.0309983018565,-5.220970856179314,-14.349531343673288,-152.47942063510493,1596
35,-2411.640774184778,-2246.18515947172,-2.576962049755607,-9.254499811160926,-153.69221679030682,1377
36,-2159.531146023918,-2004.1099983651206,-2.087145282632071,-4.968050401639079,-148.4381755354485,1318
37,-2406.4457642131506,-2235.6899532973544,-3.6225730394235316,-10.363781019751784,-156.76945685661622,1449
38,-2454.377141397423,-2290.3394655165675,-2.5462952661302105,-7.623533587774235,-153.92432423840643,1346
39,-2502.1480852066475,-2334.199005931846,-2.3970423452182974,-9.310177708572507,-156.31344158185144,1389
40,-2320.3967332907864,-2160.258141555039,-3.2171035536388817,-8.086654319521852,-148.84063572272848,1374
41,-1581.8887346267827,-1409.5078318247788,-4.054288178116925,-8.310648840587852,-160.0159657833302,1653
42,-2107.298750359494,-1926.9787782871804,-5.998984879080455,-14.87075620163016,-159.45023099160431,1659
43,-2411.5767125053844,-2238.382278429161,-3.5556222573287717,-11.736696897325372,-157.90730173570006,1568
44,-2505.6619294386483,-2336.830496551188,-2.5257119881583154,-8.56767377752979,-157.8181139642237,1356
45,-2110.9773530250613,-1935.0307886042217,-5.7039263521394,-14.403201057605632,-155.86282436608437,1586
