index,reward,tracking_reward,stability_penalty,safety_penalty,steps
0,-3096.729502448056,-3102.514430472422,7.1983150880295605,-0.0,1500
1,-2964.5134827835254,-2965.512840845313,1.1035863066529497,-0.0,1500
2,-3110.798820241108,-3121.458755711474,10.963534246779261,-0.0,1500
3,-2209.075749796855,-2213.0238406383373,4.228895452365411,-0.0,1500
4,-2673.162372727471,-2681.8954663588106,8.88261775251907,-0.0,1500
5,-2967.750090530812,-2974.2573480349974,7.503969253645183,-0.0,1500
6,-3069.5763120192696,-3077.5495269049447,8.221522369454492,-0.0,1500
7,-2632.380733635299,-2643.245475037017,11.150022735163473,-0.0,1500
8,-2209.765132420575,-2212.1898984169784,2.5724708105109806,-0.0,1500
9,-3338.397345446941,-3339.527111991804,1.7450883420372993,-0.0,1500
10,-2682.017148467099,-2690.293702098076,8.458717472214959,-0.0,1500
11,-2711.5665094548744,-2720.518856095159,10.055827191608966,-0.0,1500
12,-3428.8039276612913,-3429.4162066020053,0.8578106814019393,-0.0,1500
13,-3070.3381335460717,-3076.136425622652,6.437595581063352,-0.0,1500
14,-2556.669143624665,-2566.3719169109177,10.016232714296743,-0.0,1500
15,-2854.545279604875,-2857.6278237381184,3.3918750634055583,-0.0,1500
16,-2987.0234219438917,-2997.3730704553222,11.642843826731196,-0.0,1500
17,-2583.2437385328767,-2594.600102911386,11.559041339458892,-0.0,1500
18,-3318.3619014038254,-3323.3955251774273,5.332144101364228,-0.0,1500
19,-2884.343410974404,-2894.379440524506,10.361512417430298,-0.0,1500
20,-3140.407756885801,-3150.351969728729,10.258054863346201,-0.0,1500
21,-2538.3068868881883,-2548.0749752637344,10.024974372943188,-0.0,1500
22,-3095.436770499333,-3096.4644948641285,1.1925691743018458,-0.0,1500
23,-3576.680609870163,-3578.7467613845097,2.1493486125737795,-0.0,1500
24,-2768.5111961941066,-2779.8804370723105,11.636326800032943,-0.0,1500
25,-3147.490162706886,-3155.4075403371776,8.196231255990691,-0.0,1500
26,-3354.7785984479005,-3358.0176812755644,3.8938361536044397,-0.0,1500
27,-3442.7477101213794,-3444.958510858312,2.3071300951715252,-0.0,1500
28,-3042.3607324450463,-3046.064722639394,4.230066919754537,-0.0,1500
29,-3079.102167364056,-3083.702705331592,5.151731497788312,-0.0,1500
30,-3136.8942793216174,-3142.842705600462,6.379761664721591,-0.0,1500
31,-3060.7014040328127,-3068.8348800046874,9.445498866154116,-0.0,1500
32,-2945.958246076172,-2953.609987455101,8.353302192467195,-0.0,1500
33,-2968.4801116243357,-2979.1892525652684,10.927978204298977,-0.0,1500
34,-2843.2500511565313,-2846.7491321993994,3.9256005393046762,-0.0,1500
35,-3406.1930191310603,-3408.4478348013117,2.38455198789486,-0.0,1500
36,-3221.8827945311714,-3224.089039554725,2.4768178621762793,-0.0,1500
37,-3144.451545271419,-3155.5632148094082,11.37971589697063,-0.0,1500
38,-3186.8552570458623,-3188.7490070591493,2.058534024002046,-0.0,1500
39,-3105.3974924446343,-3111.0567263450525,7.815029546756311,-0.0,1500
40,-2888.774273825388,-2901.538756202895,13.040886463736333,-0.0,1500
41,-2876.3217352538036,-2886.292146393614,11.541009484718767,-0.0,1500
42,-2681.6984551644887,-2689.9638256269604,9.463385450973101,-0.0,1500
43,-2110.256028875833,-2144.4479263132766,34.49623059846053,-0.0,1500
44,-2534.0659320234604,-2547.119568957278,13.509471260281464,-0.0,1500
45,-3013.7101405973876,-3025.4815040390536,12.267760110769302,-0.0,1500
46,-2675.493243250126,-2684.4752156485297,10.083165229656823,-0.0,1500
47,-3069.1421024474494,-3078.859936990823,10.183257701644557,-0.0,1500
48,-2820.953601063385,-2830.9106227415264,10.156328229584252,-0.0,1500
49,-2809.381782872662,-2818.1254946483723,9.87665627873371,-0.0,1500
50,-2767.583810117418,-2776.653627919144,9.2513911845448,-0.0,1500
51,-2932.330469282994,-2943.5961209203347,11.876595242259583,-0.0,1500
52,-3328.3447733324,-3332.6046140353105,4.429777357911178,-0.0,1500
53,-2908.2588997531607,-2912.553355525484,4.557817500184658,-0.0,1500
54,-2981.7781456035245,-2984.967926071764,3.6358784470896635,-0.0,1500
55,-2850.394591115117,-2864.3326597714845,14.211164745973035,-0.0,1500
56,-2669.758164455055,-2675.9340267160537,8.56361116096645,-0.0,1500
57,-3046.2220398985173,-3054.2740489809657,8.221749779654749,-0.0,1500
58,-2898.3958411480057,-2904.689037758553,6.733003912516631,-0.0,1500
59,-2795.0578215195383,-2805.9378557929763,11.06105588918897,-0.0,1500
60,-3542.309969334505,-3545.7565568911723,5.784996764492007,-0.0,1500
61,-2660.0518410322807,-2668.1135453870947,9.377669526192593,-0.0,1500
62,-3283.3198280908955,-3287.0720778715277,4.098986995301798,-0.0,1500
63,-3091.091047778014,-3093.6723163559814,2.885161792427652,-0.0,1500
64,-2786.044713358618,-2792.5800095874633,6.9189285838566805,-0.0,1500
65,-3066.307115035635,-3074.1333154934778,7.9946811885690865,-0.0,1500
66,-2597.2433736468297,-2607.8157654216743,10.840866759355507,-0.0,1500
67,-2811.117573628169,-2822.1020175143512,11.184844413784628,-0.0,1500
68,-2812.97495939564,-2825.1201811771375,12.47714701519026,-0.0,1500
69,-3159.331707846525,-3169.0665981458747,10.130515283755154,-0.0,1500
70,-3011.333740293771,-3024.8255637663515,13.86475306028223,-0.0,1500
71,-3137.4102012845506,-3138.2101033686095,0.9039603158873812,-0.0,1500
72,-3149.8466719627168,-3158.1864757782737,9.766059129730175,-0.0,1500
73,-2255.251378576897,-2260.731206651438,8.077238765058883,-0.0,1500
74,-2224.287628699327,-2230.187390961408,5.996506682515785,-0.0,1500
75,-2502.6311976161273,-2510.529355250947,8.06613372353443,-0.0,1500
76,-2609.0473293119526,-2618.0811694846875,10.610523292406898,-0.0,1500
77,-3098.2160972016127,-3110.40042529471,12.583768213754139,-0.0,1500
78,-2982.969569048737,-2987.5215298459975,5.201385242392947,-0.0,1500
79,-2757.1833966547756,-2765.806110406976,9.827046850394888,-0.0,1500
80,-3270.8405482769817,-3274.1004653416635,3.828621681920793,-0.0,1500
81,-2929.2924003112826,-2936.359297103237,7.2060198597891105,-0.0,1500
82,-2846.196836651534,-2852.940518966582,7.12170104925664,-0.0,1500
83,-3123.1753929014153,-3129.9660200745748,7.066419297577433,-0.0,1500
84,-2831.3465780833117,-2834.4566330432745,4.390690793031758,-0.0,1500
85,-3342.114722362083,-3347.237889303599,5.316814492905621,-0.0,1500
86,-3207.348243587741,-3217.3749434248903,10.362861613800662,-0.0,1500
87,-2696.227503195238,-2707.4798858834497,11.465838550712336,-0.0,1500
88,-3051.5887286147395,-3056.155543088122,4.676426921686794,-0.0,1500
89,-2793.953935496394,-2800.137727153218,6.301391377004734,-0.0,1500
90,-2993.5128251360607,-2997.3047419705085,4.698405477025766,-0.0,1500
91,-2982.602443252403,-2995.369827005671,12.973146926131943,-0.0,1500
92,-2715.6560415975187,-2718.889214157624,3.3564900829830475,-0.0,1500
93,-3322.0285073516693,-3325.7255732804347,5.006995645022715,-0.0,1500
94,-2289.5311779061217,-2293.170470187514,3.7188144334057895,-0.0,1500
95,-2643.9488226346207,-2654.312461445866,10.64446063724888,-0.0,1500
96,-2998.5355522070854,-3010.5294924873497,12.168901291125193,-0.0,1500
97,-3207.3388967140604,-3213.2226611608703,5.97209200007207,-0.0,1500
98,-3083.098909709499,-3088.823955439797,5.919388520461021,-0.0,1500
99,-2586.9790421379507,-2596.5796915258115,9.868268862903475,-0.0,1500
100,-3167.978666578152,-3169.0478724592194,1.1776690996253352,-0.0,1500
101,-2689.5035139759766,-2702.4322188499095,13.276676131917842,-0.0,1500
102,-2941.6432268064996,-2948.2737840488912,7.12181267188779,-0.0,1500
103,-3137.9647164955645,-3139.9002328568095,2.233291878945666,-0.0,1500
104,-2683.426103530508,-2685.32468592442,2.0795081205897668,-0.0,1500
105,-2333.929762014268,-2347.695962817014,14.00882923382169,-0.0,1500
106,-3097.887029130255,-3103.361180688223,6.556829070651073,-0.0,1500
107,-2847.5869501596408,-2860.550484646736,13.303721755459799,-0.0,1500
108,-2992.914003803936,-2996.51873498537,4.422776300838527,-0.0,1500
109,-2514.5130390234453,-2524.816700014003,10.551361173497353,-0.0,1500
110,-3045.6590383910534,-3054.474374076802,9.006711172685224,-0.0,1500
111,-3137.849121598044,-3142.9350278434,5.173373531175582,-0.0,1500
112,-3080.0738782141048,-3084.903220227467,5.8832443628353985,-0.0,1500
113,-2629.487986559868,-2641.668196032966,12.475993049033873,-0.0,1500
114,-2508.3073283597773,-2522.0125293097467,13.974141204411533,-0.0,1500
115,-2630.5050919725063,-2636.9243446447567,6.692734962466068,-0.0,1500
116,-2694.415119583185,-2701.4905244813885,7.520190757605613,-0.0,1500
117,-3153.6903794765167,-3155.095788397657,1.6196796269366835,-0.0,1500
118,-2904.9990224540134,-2909.150522769901,5.269620371882123,-0.0,1500
119,-3259.5572195892323,-3261.998691925743,2.688063111191648,-0.0,1500
120,-2354.8294201399076,-2364.2940177777,9.820591265805614,-0.0,1500
121,-2773.4097953403734,-2778.552934422232,5.245466044502394,-0.0,1500
122,-2747.6040544419684,-2748.8332618612517,1.370232009845842,-0.0,1500
123,-2848.2720351844596,-2852.349179421704,4.178000817913927,-0.0,1500
124,-2727.6508732692155,-2733.6702493574776,6.135232135472332,-0.0,1500
125,-3225.9635806983756,-3227.8879632643043,2.006885818876239,-0.0,1500
126,-2800.270795070593,-2815.419393915924,15.406067731918851,-0.0,1500
127,-2598.871759378801,-2610.9436256746744,12.597465914309653,-0.0,1500
128,-3346.0495569081627,-3347.188937879338,1.3449227094631926,-0.0,1500
129,-3383.8777055008477,-3386.5004119702558,2.763796339864319,-0.0,1500
130,-3040.398729130166,-3053.7324675095306,13.735488468192743,-0.0,1500
131,-2649.551507837432,-2659.875395068975,10.558133009170886,-0.0,1500
132,-3303.615766885952,-3307.218767674755,3.8257164279775364,-0.0,1500
133,-2809.9741162647356,-2823.318251892803,13.687183974588473,-0.0,1500
134,-3049.758933497234,-3061.147086998215,11.620884577396863,-0.0,1500
135,-2554.171339119462,-2560.839416603866,6.823382704575718,-0.0,1500
136,-2455.7466328845076,-2462.9222154397594,7.293761353326207,-0.0,1500
137,-2872.806435829598,-2878.211408007616,5.675460941277387,-0.0,1500
138,-3257.1464859377797,-3265.07310187798,8.1760886391354,-0.0,1500
139,-3382.957386331452,-3388.2856630191877,5.614660262064211,-0.0,1500
140,-2034.3734319661387,-2036.9138140415728,2.7152633615042308,-0.0,1500
141,-2906.1786544307215,-2916.1990363292102,10.208603752963246,-0.0,1500
142,-3165.027055602989,-3174.2342734703084,9.42653273369022,-0.0,1500
143,-2586.983672878644,-2596.6765430110627,9.923284980893143,-0.0,1500
144,-2905.078037867114,-2914.649854943325,11.78293254245804,-0.0,1500
145,-3180.985020022765,-3184.1210656755643,3.3690044607582155,-0.0,1500
146,-3091.8040822947337,-3095.8310190491175,4.5266755842104605,-0.0,1500
147,-2748.52731365624,-2753.6866782130137,5.262183984416658,-0.0,1500
148,-2670.4191696923613,-2678.503162809386,8.27653790882377,-0.0,1500
149,-2407.984705893396,-2413.2568344217652,6.095915320612405,-0.0,1500
150,-3121.643780773379,-3130.7035582412677,9.484268395967504,-0.0,1500
151,-2775.57333126628,-2780.729890502356,5.322864269251923,-0.0,1500
152,-3144.185655077042,-3146.966171284923,2.868688440658541,-0.0,1500
