index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
0,-2421.2337568087587,-2305.9281088665984,-1.594904475319007,-2.6585271786690736,-111.0522162881081,1305
1,-2398.236476468852,-2281.558028128431,-1.6496377319934141,-3.1166691481636457,-111.91214146020403,1334
2,-2286.5662006254397,-2163.67722653341,-1.7721270537341385,-4.6191157225388535,-116.49773131579599,1339
3,-2411.5812307036913,-2289.378217513032,-2.082244731666563,-6.918043015296928,-113.22643593403593,1363
4,-2415.856343474283,-2292.578814780281,-2.5311748437717285,-3.939169258262457,-116.81931605417776,1390
5,-2433.349637506785,-2311.544729174896,-2.396686119609602,-3.8797521664363614,-115.53682431341981,1391
6,-2407.0171085695965,-2284.79165475821,-2.4229709020158547,-3.733053604967883,-116.09553617931155,1398
7,-2397.0339078207967,-2274.101940294657,-2.3847799872071915,-7.316463424796477,-113.23863059991986,1408
8,-2281.481642505045,-2154.586013579535,-3.194073961251931,-8.30345874005873,-115.39809622418133,1420
9,-2456.795056268816,-2335.577783063371,-2.544101960100054,-4.293385948086153,-114.37978529719338,1434
10,-2218.645460902985,-2094.0607708714265,-3.4959750564978305,-5.189759315343874,-115.89895565964937,1461
11,-2186.2245554691685,-2063.329213954411,-2.649749381430995,-7.948281106618215,-112.29731102669001,1466
12,-2296.4085250909507,-2171.9733040689307,-3.147303933763719,-5.449065836247395,-115.83885125194176,1469
13,-2350.892374039442,-2223.553620845426,-2.744999689692006,-8.192852377166863,-116.40090112713759,1474
14,-2118.1934434684167,-1988.9268217238384,-2.942662360514652,-7.589956654000516,-118.73400272995643,1490
15,-2413.1424420573585,-2285.2088389635014,-2.7111264867637375,-5.757789208484202,-119.46468739854784,1498
16,-2381.0280321611212,-2257.525766041001,-2.881995715936179,-5.827884694350102,-114.79238570978275,1527
17,-2405.9381948718533,-2275.5682340268613,-2.4569474052031035,-8.694392940501784,-119.21862049927344,1531
18,-2317.8092453281934,-2190.2662995118935,-3.370896178511679,-6.150564294434684,-118.02148534330121,1560
19,-2356.1673144189435,-2227.2651848329792,-3.6039317210545896,-6.10030835189978,-119.19788951293923,1565
20,-2132.265666593685,-2007.4017739416365,-3.071207615392876,-6.439498928798048,-115.35318610787765,1571
21,-2222.491637735448,-2097.4725751502538,-2.572071068743268,-6.039276869244263,-116.40771464714362,1615
22,-2494.019711707984,-2358.9632712542125,-3.0935912716447334,-7.445956818606467,-124.5168923634651,1634
23,-2450.706690821895,-2318.010889975799,-3.024617530156776,-10.802439192180787,-118.8687441237542,1667
24,-1722.568952665164,-1597.7890812425396,-3.484598564518512,-9.183350927482838,-112.11192193055636,1709
25,-2180.4128853605494,-2043.4051900517177,-5.358989915541274,-9.67334027067316,-121.97536512254906,1714
26,-2296.056392007743,-2152.3746422636955,-4.960872449399736,-11.802514071998793,-126.91836322262884,1725
27,-2240.7349778049456,-2105.7381795973547,-3.954916172524715,-8.182762377887041,-122.85911965711168,1725
28,-2048.6437918202773,-1909.9324121088111,-6.303776281729747,-10.243413900224565,-122.16418952944547,1730
29,-2107.3982470908595,-1971.6023547109435,-4.4925552896872665,-9.904869657866294,-121.39846743229482,1745
30,-2208.2517242124536,-2067.7576613723586,-5.086124998276109,-9.358977254767344,-126.04896058698111,1746
31,-2217.4820728893715,-2079.1801783633155,-4.29099455326467,-10.192714999729638,-123.81818497299737,1771
