index,reward,path_reward,turn_reward,rate_reward,attitude_reward,beta_reward,alt_reward,vup_reward,speed_reward,progress_reward,action_penalty,beta_penalty,safety_penalty,steps
0,-68.76232552259617,110.67420782693674,406.4645312464844,427.11404999808326,329.7800789766541,296.3938634686679,186.25357979719672,69.13193994266938,645.4347322931455,247.6752823792649,-105.09021954187934,-100.90056674799851,40.8734664899918,800
1,-166.6568988323012,424.2521837110233,428.11247508280485,394.5407672442343,279.24637481839295,308.42151983212926,61.40926875580508,139.4739199709848,522.3749164981783,65.65904730841041,-91.62268126667105,-91.65586255325354,207.59954565664205,800
2,-205.94888794995222,560.8112594969042,619.6586509727193,457.0548986598994,470.5825278534851,242.04459825508704,223.06779019406406,116.76886322356533,654.5596691830685,120.72445118287692,-134.7176350864237,-126.87793352086801,711.4838140370955,800
3,-121.56767275742116,181.70366784108606,325.3868378104612,362.5927834020796,403.6126175888738,278.05807714630635,277.6894056903323,539.7066081367542,507.16715525977645,224.2252723608521,-89.7052766520721,-114.31516142799772,100.07144646110332,800
4,-143.13291246195539,329.38799618574654,512.389665198975,472.53251218121267,609.0505429174534,306.1458462558076,178.10715465868327,504.43433094334085,465.4897375074006,16.115997514523556,-112.04820816755225,-97.12794176195159,279.30594190707023,800
5,-56.46524161259368,532.7139717770393,577.2487454109607,475.84679548357974,386.9982621368047,323.861602725275,19.18793287088551,54.80057967128009,585.7258606557511,134.9271731842632,-102.86344357049987,-86.42109139172845,409.345607772352,800
6,-66.39235158383522,207.59193934021076,368.9520211120388,344.1363706673867,361.70998007214,214.2871847215487,258.76981259709044,202.81358453298932,613.4281521981168,170.8088792676178,-124.59682990218971,-140.43010820820732,20.267837851340346,800
7,-18.841999976826077,562.9215947832478,509.1432443566067,429.2076450715077,389.3380749514448,281.89527029858283,46.25498411927155,132.09831084923218,577.7926368542586,53.508886093339555,-124.13406194140059,-107.13727933605763,231.94645497436252,800
8,-2849.7985698306925,172.34157631170876,270.1257847657849,229.0872351833093,214.52917559392662,331.01735100575723,86.7464486941586,115.94287350096567,323.8276759241235,140.19813850347398,-57.69024728062725,-83.3967349003083,6414.595135524806,800
9,-120.5497014192892,423.09989899682824,514.5663612104124,449.90485139975124,352.42293428418924,280.33016832956497,74.68118080002037,36.23984470104306,345.61051418801566,101.60531369905954,-152.05269155012286,-121.84928966075753,55.58115862484228,800
10,283.88024822710724,485.52477890477655,527.9893899405126,534.2702089324379,612.0519953431051,310.93841635751767,184.4201157248652,526.8801123088957,705.4150669198684,188.38192555383648,-116.58570845939968,-89.79607222448877,10.730597137036913,800
11,-226.06509854245795,113.0597371525207,313.87476828562166,411.48291662694095,231.43592060755935,375.2551970378885,99.27595252492634,66.35041021756014,676.7477850813428,284.5632137955283,-91.7744923267975,-75.52437585267334,243.6631088517837,800
12,-317.9500789688774,270.4020943126289,421.96408110705073,431.81760033404163,354.4228469380411,378.06082440547766,160.0734927337803,401.6118129142393,505.7732328194404,51.83425605111465,-84.73131233684617,-69.8161824263864,590.0187036842233,800
13,-933.6193851823443,504.9763515153947,607.8998855113804,508.0503432245952,659.7159074041714,296.1869719176309,211.87680621387958,553.9900628750859,320.20617937618914,70.90035089130274,-141.7899969305019,-102.86594518768958,1453.734946004259,800
14,17.72929458219636,422.832425086063,479.9359193964728,478.1828255352294,386.03420738948535,338.6054347273388,177.4741872176501,206.30996276169452,610.741840580407,176.2134191350823,-99.25813663786573,-78.8223004349399,245.25545189323856,800
15,-2960.056490845661,170.39794444905516,264.8594545583156,224.23499524177018,249.33581487486265,226.52842752474822,182.2526575107843,144.5015772511032,436.9948890546259,146.40913868594706,-68.58090382321247,-114.63888034811815,6188.777201419601,800
16,21.437723683166386,394.73678644386337,549.5566585026146,426.0403292092075,485.6539711477554,266.5412961224316,198.00121165171464,301.8293085743488,492.6152823201963,96.6351735160145,-137.92403691662543,-126.3427255318307,39.46869609258562,800
