index,reward,los_reward,body_rate_penalty,body_accel_penalty,steps
0,116.24245545487145,132.87847716160132,-6.197431468971283,-16.924725183986048,174
1,113.84622275865819,133.34789554830533,-5.846056869408933,-18.55531589158756,190
2,190.69788974340065,221.35405436746902,-9.452519290924648,-23.441499877874737,226
3,217.7240803251466,252.41872966478513,-9.099123923582894,-24.443474094630968,231
4,290.2592800688621,339.1187740999644,-12.000226368424668,-28.560997915241597,263
5,293.47111458198464,342.5659593751433,-13.459757288829396,-29.866097205987053,272
6,401.84857143719285,476.12669495571583,-14.1553497087952,-35.33751268735186,310
7,463.4590224662001,554.6041698533712,-15.315066973968237,-37.86521752005593,328
8,441.13178586875677,523.409325254326,-13.707781387007223,-37.824871280838956,330
9,464.24979290679784,543.842791464977,-18.08997726966908,-40.556185153711056,350
10,563.4707340693975,673.9923056163162,-17.459571254886303,-43.35682684313793,369
11,588.3169982158357,680.5234877599651,-18.778799259409737,-46.002076437175695,389
12,619.7100243813868,733.5413054772317,-18.380596466382336,-47.21039161371364,396
13,731.8628495680096,856.5367885086947,-19.89116280820549,-53.2133323346018,438
14,755.7930421016049,893.4794462273006,-26.28895128130895,-54.59580246169513,446
15,774.4913917637539,905.9291269264342,-23.252066552639292,-57.01317075226349,470
16,429.92792327189915,524.3859195300395,-12.74903045360564,-34.158743019709824,298
17,894.7230205984197,1047.2680292166165,-29.88708293596155,-63.45890735352726,509
18,950.2165297885495,1114.807042305211,-26.02996221580536,-66.66879758584224,529
19,1020.2215017214567,1193.902300553498,-29.035250952960837,-71.1342689659245,560
20,1133.4097644682768,1317.9750809725863,-32.90221952139228,-75.0229765871014,575
21,1108.6427511133984,1290.8656853868724,-35.52747736017715,-74.51683289473424,580
22,1210.7459786505644,1418.2138085794159,-34.68275270276942,-77.83388879070338,592
23,269.5015744886039,326.3568402100342,-8.480022903709152,-24.628746947116916,227
24,1243.7792090521855,1457.1429208609377,-36.174850796617235,-81.53752153133091,614
25,1404.5131294743974,1652.1524934379256,-39.321224081799,-86.36136190031017,634
26,1324.831644198716,1531.774526518541,-35.74423125121894,-85.22166770154658,635
27,1394.369149897029,1625.9575324992404,-37.373167364800885,-86.58667587988414,643
28,821.3307963217195,988.2928583783186,-26.956405215684967,-57.49033577690397,461
29,640.1252152124903,771.2702573879577,-20.550637212864636,-46.72104550876079,388
30,160.59355054896986,196.1248100389674,-7.17028142107786,-18.936622740730446,187
31,1390.723135333143,1618.701293890808,-38.023037276712415,-88.06625152424411,657
32,1441.9139672828596,1673.380845824644,-38.60760607197933,-89.25725143996446,658
