index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
18,-11882.18152620198,3000.0,-2952.0387757670364,3000.0,-2366.3002244127383,-1956.0457747701676,-65.46367557269366,-12636,3000
19,-12444.417853141613,3000.0,-2951.9986993566067,2999.876923076923,-2079.5511531145435,-1673.0129889484272,-202.26480506850146,-13224,3000
20,-12283.472401264919,3000.0,-2951.817460699922,3000.0,-2082.9518718050676,-1848.1746392434147,-199.33580280272156,-13056,3000
21,-11374.614871119133,3000.0,-2952.189359549431,3000.0,-2214.492749967979,-1876.8876775319106,-198.4602020625059,-12138,3000
22,-11837.810967917492,3000.0,-2952.162409457451,2999.753846153846,-2413.1505951119416,-1686.4473603395827,-39.664852613213725,-12600,3000
23,-11647.902375817766,3000.0,-2952.1826016579953,2998.215384615384,-2133.8001482421296,-1984.3518584528285,-61.53915264680063,-12414,3000
24,-10853.592722652395,3000.0,-2952.273626069558,3000.0,-2463.0382646308763,-1590.3898077747378,-73.36370762580265,-11616,3000
25,-10784.84782824684,3000.0,-2952.1571851935955,3000.0,-2411.7525713138534,-1948.6603418983232,24.701948795476994,-11538,3000
26,-9863.846110638484,3000.0,-2952.1676226975924,3000.0,-2571.581420234554,-2494.168067822104,-54.54317365550969,-10584,3000
27,-9117.964939647778,3000.0,-2952.0177341044837,3000.0,-2501.703144599152,-1646.4487119407459,-67.95638061929287,-9876,3000
28,-10059.233045971037,3000.0,-2952.1752904165132,3000.0,-2435.1758259611092,-2493.3493130425672,-34.621548028545874,-10788,3000
29,-10431.14168352702,3000.0,-2952.20008841373,2999.9384615384615,-2267.450882836097,-1560.152510874307,1.7595368519282033,-11208,3000
30,-10668.5422336282,3000.0,-2951.9948547608437,3000.0,-2453.4973710999484,-2510.0812800689177,-114.53933450035953,-11394,3000
31,-12733.366283849427,3000.0,-2951.8400418015526,3000.0,-2145.574288455178,-1623.848769955503,-154.4531226274118,-13512,3000
32,-10809.032940784058,3000.0,-2952.647220570744,3000.0,-2024.020535898045,-1690.3982564208516,1343.5666396718034,-11622,3000
33,-9793.861659197895,3000.0,-2952.565020799758,2999.5692307692307,-2380.9007563296227,-2086.1925609795453,1169.937095166275,-10566,3000
