index,reward,attitude_score,velocity_score,position_score,rate_track_score,dwell_bonus,rate_damping_penalty,angular_accel_penalty,action_smooth_penalty,action_effort_penalty,action_balance_penalty,safety_penalty,steps
0,710.9769355856171,1770.5570723046458,66.23650513335745,203.425503251192,1937.570657140158,0.24761327768248484,-10.083691990292122,-0.19265495429562032,-91.40646437923442,-12.191832449840208,-9.607642579329788,-292.1618524374718,2000
1,-577.3126869752134,388.40926679770183,52.141020576427614,170.72774707015841,573.5226401732485,0.21139553815300216,-199.5616855390642,-4.494417424303951,-49.85243450030178,-14.24342463758214,-7.944039242579881,-783.7700575786502,2000
2,650.7457791130028,1778.7840717884856,63.6690834537238,215.72914433951004,1977.9986980228327,3.6264448750710256,-2.9479498025917987,-0.0,-108.1392095428778,-9.316201816231386,-3.936664628575951,-389.7797475888523,2000
3,1150.583390370737,1759.58677980301,189.63231159693922,294.6945674008577,1935.1356778311556,4.123332385457861,-9.364921924457207,-0.022659673158180217,-90.30700115132686,-12.09413563467986,-8.368853291647245,-143.707422154064,2000
4,1375.4319228695306,1593.250624002058,238.20573967724718,395.9533604078164,1882.751293643458,0.24761327768248484,-10.468378326806588,-0.0004221863928889104,-84.11872202429598,-10.91367618478616,-4.520229605522639,-67.80357919591877,2000
5,998.8955031090685,1841.2995105842847,214.5900183641832,186.4450310186635,1969.9031715902993,0.2870948867685202,-4.10193903560422,-0.0,-118.48518109776562,-8.479469606163438,-4.678451089690058,-174.68909611930115,2000
6,451.0915519291906,1698.7250421423007,82.35205242640237,113.14169125006488,1964.370218164357,0.26703373682139414,-4.925516638453751,-0.001119535224672075,-100.03978053701833,-10.292421562939252,-5.228531629346729,-420.23205656208415,2000
7,690.1693101570913,1503.5940100974244,102.09920945158744,201.02699258882316,1851.1813354494993,0.08379299313659927,-11.950528282630234,-0.0,-91.29749899473165,-10.963838360082661,-4.881759229074478,-254.384228674196,2000
8,1546.9270230677328,1807.815098055914,277.7934118771782,419.61112419388536,1956.78160708167,0.3366605149658571,-6.2764585427045,-0.004432093227962175,-87.25423191883286,-11.230910468169993,-4.9560971885426,-65.57620066360236,2000
9,1285.5401472886597,1881.044286939981,378.67384892092724,198.22084791915,1913.6912922075605,1.256182173512143,-13.58007059586517,-0.612308701920915,-107.3249591213777,-11.110140686163627,-9.260462585433777,-106.37104102819235,2000
10,891.8254585211124,1641.5555671581308,128.66658398438406,236.36876484985748,1926.1349436428936,0.6008630912841747,-7.760824853189914,-0.00032736989327638856,-97.35618693110906,-10.82688158374389,-6.617085850753122,-187.59390392282242,2000
11,702.291987114622,1684.3398514031098,84.9339482175254,195.98398384676827,1886.73293902683,0.21139553815300216,-11.050148364892614,-0.002394604115985947,-102.95171823448504,-10.261334520918787,-4.969197622995918,-275.53892447301627,2000
12,1446.9910653024626,1858.9648942871443,210.0258182637916,396.18040697611207,1978.641510779244,1.1232868589878615,-3.24912324144528,-0.0,-93.70797214927003,-10.114914587010064,-3.5490982382497887,-77.3626796282465,2000
13,1219.3654091216563,1698.328089593915,181.49785207500886,315.40901551068504,1900.5581483915664,1.468890324550551,-14.0343495096216,-0.0004983394167077572,-78.87950568517796,-11.432162879487702,-8.024918529942816,-70.15699947190322,2000
14,924.6790079291657,1829.2275234056203,132.71677217379835,258.5150616404866,1915.9797665008296,0.7107368013209807,-12.601779960034085,-0.49029392334878424,-101.22655200436627,-11.970736107266752,-10.533601302443284,-233.91862468174372,2000
15,1016.1828766036158,1592.3195631418478,154.91446200366207,344.1861268336285,1727.9986378372696,0.396951439260583,-34.84972873887985,-0.6409065573562982,-88.5657971022089,-10.775354267216963,-6.097360047542081,-211.70549063512883,2000
16,1195.3841695716717,1862.4562898217891,227.20848361952417,244.76843076218756,1974.8923665298032,0.7627904398877803,-4.044690948865705,-0.0,-100.20311153392862,-9.731231383533748,-4.568599836206226,-107.54967202279892,2000
17,322.9767377864075,1265.8089633511822,60.54756634709017,189.8147175947668,1694.9158382527933,0.17846097581342307,-30.430351004246774,-2.5355055068037063e-06,-83.28074192742311,-11.692226174146493,-4.903049077099099,-451.4302646207053,2000
18,886.1949748877618,1755.344584713677,125.25912281999945,195.42546591911005,1950.1647261623698,0.17846097581342307,-7.862501959833648,-0.0028084615174173927,-98.44217921439044,-10.645913472359132,-6.8640693272125475,-172.59557267697443,2000
19,782.2369113897731,1606.55361891974,78.79813478032514,217.9734749873889,1811.4336104164327,0.22883522014065213,-22.321207293507136,-0.26980299106844735,-97.34491325676969,-10.430039058473554,-5.842610642338623,-185.6441907808964,2000
20,590.9047950145186,1566.1108724473165,130.15747232259673,170.0951976671695,1875.3505272530533,1.1796203379689059,-14.54828456106089,-0.8121939637399997,-91.99011906123323,-12.673758952332923,-10.471188271227035,-353.3312099559907,2000
21,733.6490675350582,1723.023132620572,125.15369440247362,213.62010160782333,1924.2616424933296,0.12111205472552106,-10.820238576206995,-0.3794872169128871,-100.99099191159674,-11.329535776605413,-9.592281413628463,-314.5209029836014,2000
22,1009.413957744911,1701.0571136293045,156.76328018327345,288.2149058618728,1925.4505870755215,1.1746992661807605,-11.083208633656966,-0.3135989256678537,-104.50884619159542,-12.080127239817276,-11.576906954015948,-187.8545338517879,2000
23,716.692170136293,1745.7345077546672,84.68248566322144,205.81440198389194,1884.6779547314384,1.502105580247868,-12.451680983397432,-0.017558960493790573,-90.41480535045405,-11.015352559668168,-4.733649126932719,-313.3768642601051,2000
24,-585.0494238966004,309.62859243795623,46.84499386148609,169.97510510044722,450.7691106627878,0.4499358393752007,-215.0847159077105,-5.6993408942738455,-54.214652632306255,-14.163458144786244,-11.906745361537412,-712.308195871958,2000
25,632.0779757357994,1504.1685842516665,74.13607453941087,196.78274068967275,1738.122041713592,0.17846097581342307,-27.00642364276015,-0.8619365879016186,-102.10670992277369,-11.718454739087736,-9.965373979662084,-232.7588825275812,2000
26,784.1779000808973,1771.1343434289881,99.02479930818524,223.229007659544,1786.5210143027498,0.6951398066032473,-26.67919907421983,-2.488934644340748,-97.62724806920974,-12.149281350011728,-10.731222187068173,-235.0316712242027,2000
27,628.4181926022516,1521.1444675389987,77.42332330503764,195.85533714059437,1899.0329539088748,0.17846097581342307,-11.648063754259551,-0.21145974755593552,-102.11158653095309,-11.836136794821515,-9.838536949235776,-282.70143636669627,2000
28,823.8824081814823,1680.885996143942,103.96883695084526,214.96706641281128,1927.6048381279484,0.21139553815300216,-10.931740164296794,-0.20655096384166055,-106.2342276655867,-11.14366860818919,-8.719303416501457,-192.46785853669462,2000
29,1165.9360549411879,1803.3432872756682,168.46784768614083,297.59177826204495,1957.8971913579294,0.396951439260583,-6.550869393200091,-0.049496561918714106,-82.71516652036374,-11.904478521109926,-5.737167963206485,-133.7504319217684,2000
30,1029.4326210754907,1873.231139531167,197.15448206567953,207.9118698254342,1878.9409292303058,0.7627904398877803,-19.967915694656366,-0.5330388147505203,-99.76181111240409,-12.757740443977765,-12.441787980077775,-138.7313070386772,2000
31,1318.0333151454436,1883.605022105641,348.62583432152627,237.64689497153284,1947.512556978126,0.18260806311981737,-9.002014531655439,-0.04344329291497877,-112.84022368095138,-10.654888912744308,-9.872404124624925,-96.83776574050077,2000
32,-336.27186447335595,417.60962819883235,52.25739624602591,175.5828332583525,978.5905138119259,0.26703373682139414,-111.27812641833414,-0.5873425912239956,-59.40733771896152,-13.276755441185594,-5.714949428154491,-671.5091734541509,2000
33,798.6473896259423,1596.5626094794325,99.16955742823698,244.0229133146467,1905.2586884674538,1.6857312907066255,-13.786071430421742,-0.24874902829284143,-86.6266032838734,-12.458676357930601,-7.932600392878039,-246.91627414340806,2000
34,562.9376142658106,1395.438375735742,80.95806445892313,227.2772514967112,1848.2355199803612,1.5312045195265465,-16.97970336883219,-0.0,-79.91086353981414,-11.95600805347451,-5.1200894782473245,-355.6127933956034,2000
35,794.1489751941455,1837.5167239134976,123.6217001171371,173.71470422899026,1984.481846950256,0.5206799036346412,-2.334069467394918,-0.0,-109.8601245619881,-9.367159121599489,-4.369541029024759,-260.6441623478968,2000
36,981.9704044236586,1639.882307556275,143.14793904313865,263.69685924888006,1917.0693378234484,1.6110552318159892,-12.206062815486842,-0.08627330914891039,-102.33111931786837,-11.814965404268253,-9.760050723364483,-138.53808259437622,2000
37,1147.2775860187655,1816.5833913513181,234.81209719487296,245.83001660491868,1921.8732908296565,1.0674972155212807,-12.650668091353234,-0.2614510903865815,-110.16584493915276,-11.732558480945029,-10.86307016090483,-107.79680406277276,2000
38,486.3518023491635,1568.6954300929242,51.04977089406915,181.68435062376102,1961.3936218057738,0.024772473505856894,-4.157397355477079,-0.0,-126.84456162800424,-8.244917315874812,-4.793357255099926,-384.66417341029353,2000
39,1356.562033819062,1899.6765221576102,357.6559931836204,245.10683344725467,1981.967688439619,0.2870948867685202,-3.2136024901460876,-0.0,-123.29104766889056,-7.7891258245449295,-3.9618266455409854,-90.45396614533412,2000
40,1164.14318908307,1838.6750942136046,168.66002943006174,283.8934259188736,1972.4879889408846,0.14492253690156015,-3.9834495519245032,-0.0,-117.03011738583018,-8.271160382403119,-4.378773290571511,-103.43721868543281,2000
41,1198.6849821918129,1866.2267294460883,236.72981161090877,265.7940605201215,1918.2220071369666,0.6032003173336461,-13.32162975592424,-0.61111115088258,-112.86521825153278,-11.36271175121214,-10.98499455826242,-100.68315443359825,2000
42,728.1337734110834,1711.1756899991824,86.27004361338396,183.51049392448684,1942.5325144447318,1.3301343499670355,-5.147462480339728,-7.459567713160056e-05,-97.18336005363253,-10.129849207825293,-4.2765401004103305,-263.488944634504,2000
43,916.9411102327125,1785.403161089784,177.32090935905686,191.83618643136052,1965.0072795456003,0.8121892726686313,-4.782529143372717,-0.007596780420797671,-114.11010214742326,-9.012741353212247,-5.705621144102603,-199.02599833554655,2000
44,637.5358518106152,1311.7457465302086,166.81374177998094,208.69242590663376,1576.0379094494417,0.29850764096924687,-65.73337399985795,-2.3124297266355267,-101.65408418124832,-10.656152889125066,-6.613864312596379,-247.45798899923292,2000
45,1559.0390551128196,1878.1941799442295,395.50621767955175,353.8545016408132,1938.0132032727306,1.29356814272365,-10.51419817176176,-0.1350402508357026,-103.95797317219576,-11.80836938813247,-10.665653829858165,-85.534166085367,2000
46,1396.1998000300016,1619.6408090828756,381.27912625075044,336.61460033661797,1957.9841615312782,0.20040735664509698,-5.223494637959328,-4.2309917527281675e-05,-109.91452923077694,-9.163375140702671,-4.378359392788677,-121.74067722897937,2000
47,997.5321758330166,1821.2486531520904,129.80953604341371,221.1345024431317,1949.7317264174753,0.2870948867685202,-8.086009297791579,-0.015594547891994685,-110.92827937158195,-9.641389693085236,-7.760932267479835,-108.38981791663014,2000
48,212.55318600455692,1232.9481820217388,46.3999545426698,173.18787269878112,1628.9577960871068,0.03093818896880048,-49.268970218012356,-0.17502514191297688,-84.577609924386,-11.227621905348492,-3.8405565332559215,-477.0391687823718,2000
49,1090.9179274209998,1748.1826768591172,201.2546890874117,294.5024906538967,1978.7331286255016,0.24761327768248484,-2.8736861325336096,-0.0,-116.45589145421538,-8.606452219481792,-3.8715239538639987,-195.86601570046255,2000
50,1198.522542619907,1710.2937964796047,268.1168270310674,262.1244365552855,1971.0279133555935,2.5633488450817064,-4.24252539713273,-0.013281635710239924,-107.84222006083131,-10.799862664139496,-6.439009463750143,-99.09292824073032,2000
51,975.3109379073514,1717.5005695303435,109.55063927966752,296.5656948451055,1963.1752288914638,0.24761327768248484,-3.9910496982762504,-0.0006928741018712902,-105.08213251832258,-9.59130920216241,-4.7849238141889225,-197.39625356776742,2000
52,249.61123406058485,1301.951032868682,57.94719879207413,168.73638353886744,1552.977158316781,1.3342935075014002,-60.31656453070775,-0.37489827723292807,-87.04326651643639,-11.257073398719852,-5.102608472827024,-467.6714192144533,2000
53,662.4575700317218,1661.5316308853753,167.75232944962798,119.54926459179372,1481.7356524368802,0.21139553815300216,-50.162477083655666,-7.407002931152378,-95.42194570750404,-12.153196764419988,-11.741660119395348,-156.7169208052255,2000
